Trace,Search,Level,State,Event St.,Event end,Amplitud,Amp. SD,Dwell Time,Inst. Freq,Interval
1,1,0,A,10882.65039,10883.94043,-0.04919,0.182172,1.29,245.080017,4.0803
1,1,1,A,10883.94043,10884.08984,2.500391,0,0.1495,213.65239,4.6805
1,1,0,AB,10884.08984,10884.15039,1.133204,0,0.0605,694.685669,1.4395
1,1,1,A,10884.15039,10891.23047,3.034857,0.392666,7.08,4761.904785,0.21
1,1,0,A,10891.23047,10891.76953,0.126734,0.17381,0.539,140.046219,7.1405
1,1,1,A,10891.76953,10895.58008,3.182612,0.256051,3.8106,131.250824,7.619
1,1,0,A,10895.58008,10895.79004,0.151308,0.123122,0.2099,229.906204,4.3496
1,1,1,A,10895.79004,10896.57031,2.985998,0.150628,0.7802,248.725281,4.0205
1,1,0,A,10896.57031,10896.78027,0.258078,0.064698,0.21,1009.998962,0.9901
1,1,1,A,10896.78027,10899.20996,3.088696,0.270112,2.4298,1009.896973,0.9902
1,1,0,A,10899.20996,10902.4502,-0.031084,0.215243,3.2402,378.816589,2.6398
1,1,1,A,10902.4502,10908.38965,3.118389,0.381404,5.9393,176.366837,5.67
1,1,0,A,10908.38965,10909.37988,0.322918,0.236702,0.9905,108.938393,9.1795
1,1,1,A,10909.37988,10909.91992,2.802313,0.322933,0.54,144.304306,6.9298
1,1,0,A,10909.91992,10910.07031,-0.130601,0,0.1502,653.381226,1.5305
1,1,1,A,10910.07031,10913.37012,3.092582,0.311349,3.2999,1448.855347,0.6902
1,1,0,A,10913.37012,10918.08008,-0.065615,0.208925,4.71,289.84668,3.4501
1,1,1,A,10918.08008,10920.75,3.040722,0.266383,2.6699,124.845505,8.0099
1,1,0,A,10920.75,10921.04981,-0.107322,0.154511,0.3,135.503189,7.3799
1,1,1,A,10921.04981,10922.21973,2.941705,0.236623,1.1695,336.71167,2.9699
1,1,0,A,10922.21973,10922.42969,0.257013,0.083303,0.21,680.503601,1.4695
1,1,1,A,10922.42969,10925.37012,3.109529,0.437288,2.9406,724.90033,1.3795
1,1,0,A,10925.37012,10927.9502,-0.023174,0.209274,2.5801,317.399872,3.1506
1,1,1,A,10927.9502,10928.21973,2.404789,0.211017,0.2693,181.136444,5.5207
1,1,0,A,10928.21973,10928.51953,0.004216,0.207627,0.3,350.95108,2.8494
1,1,1,A,10928.51953,10939.74023,3.012973,0.367705,11.2207,1756.543091,0.5693
1,1,0,A,10939.74023,10940.96973,-0.041133,0.208296,1.2293,86.800278,11.5207
1,1,1,A,10940.96973,10944.03027,3.13773,0.326043,3.0607,80.321281,12.45
1,1,0,AB,10944.03027,10944.15039,0.7099,0,0.1203,233.100235,4.29
1,1,1,A,10944.15039,10948.41016,3.04867,0.400221,4.2597,314.366547,3.181
1,1,0,A,10948.41016,10948.55957,0.3089,0,0.1493,228.310501,4.38
1,1,1,A,10948.55957,10960.58984,3.022063,0.412714,12.0305,226.808807,4.409
1,1,0,A,10960.58984,10965.90039,-0.012135,0.195874,5.3105,82.103157,12.1798
1,1,1,A,10965.90039,10970.33984,3.01164,0.319317,4.4395,57.666801,17.341
1,1,0,A,10970.33984,10970.51953,0.310466,0.038843,0.1795,102.564102,9.75
1,1,1,AB,10970.51953,10970.58008,1.332163,0,0.0606,216.49707,4.619
1,1,0,A,10970.58008,10970.79004,0.522837,0.014648,0.2099,4164.931152,0.2401
1,1,1,A,10970.79004,10975.23047,3.138784,0.280709,4.4405,3696.857666,0.2705
1,1,0,AB,10975.23047,10975.29004,1.198498,0,0.0595,215.035263,4.6504
1,1,1,A,10975.29004,10982.54981,3.20012,0.363072,7.26,222.222229,4.5
1,1,0,A,10982.54981,10982.7002,1.081311,0,0.1502,136.621353,7.3195
1,1,1,A,10982.7002,10983.26953,3.111915,0.21345,0.5693,134.949127,7.4102
1,1,0,A,10983.26953,10985.45996,0.000615,0.153004,2.1905,1389.854126,0.7195
1,1,1,A,10985.45996,10990.9502,3.139806,0.327621,5.4902,362.345093,2.7598
1,1,0,AB,10990.9502,10991.00977,1.253471,0,0.0598,130.196472,7.6807
1,1,1,A,10991.00977,10992.59961,3.291772,0.254005,1.5895,180.180176,5.55
1,1,0,A,10992.59961,10995,-0.067418,0.204175,2.4005,606.31781,1.6493
1,1,1,A,10995,10995.71973,2.989181,0.28638,0.7195,250.626572,3.99
1,1,0,A,10995.71973,10997.40039,-0.07223,0.178321,1.681,320.512817,3.12
1,1,1,A,10997.40039,10999.98047,3.232566,0.247193,2.58,416.579865,2.4005
1,1,0,A,10999.98047,11002.2002,0.008262,0.219332,2.2197,234.686691,4.261
1,1,1,A,11002.2002,11014.08008,3.04791,0.324369,11.8799,208.346359,4.7997
1,1,0,A,11014.08008,11017.5,-0.112949,0.213042,3.4199,70.923996,14.0996
1,1,1,A,11017.5,11020.01953,3.092465,0.278753,2.5195,65.360329,15.2998
1,1,0,A,11020.01953,11020.74023,0.080136,0.248083,0.7207,168.367172,5.9394
1,1,1,A,11020.74023,11020.91992,2.682644,0.094948,0.1798,308.622925,3.2402
1,1,0,A,11020.91992,11021.12988,0.028429,0.04249,0.21,1110.494141,0.9005
1,1,1,A,11021.12988,11022.38965,3.009626,0.270807,1.2595,2565.418213,0.3898
1,1,0,AB,11022.38965,11022.50977,0.670116,0,0.1205,680.503601,1.4695
